Identitication unique de la station;Date de prélévement;Fraction analysée;Identification unique du paramètre mesuré;Gestion de la Limite de Quantification;Résultat;Identification unique de l'unité;event_aquocode
NL89_SCHAARVODDL;15/02/2024;EB;1201.0;<;5e-05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1202.0;<;8e-05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1203.0;;0.000227;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1204.0;;0.0102;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1207.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1208.0;;0.00325;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1235.0;<;0.1;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1263.0;;0.000921;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1269.0;;0.00259;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1272.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1276.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1283.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1286.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1301.0;;9.2;oC;0
NL89_SCHAARVODDL;15/02/2024;EB;1302.0;;7.72;DIMSLS;0
NL89_SCHAARVODDL;15/02/2024;;1303.0;;272.0;mS/m;0
NL89_SCHAARVODDL;15/02/2024;EB;1305.0;;100.0;mg/l;3
NL89_SCHAARVODDL;15/02/2024;EB;1311.0;;72.0;%;0
NL89_SCHAARVODDL;15/02/2024;EB;1311.0;;8.3;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1335.0;;0.16;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1337.0;;830.0;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1338.0;;160.0;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1339.0;;0.02;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1340.0;;1.6;mg/l;0
NL89_SCHAARVODDL;15/02/2024;;1345.0;;485.0;mg/l;3
NL89_SCHAARVODDL;15/02/2024;EF;1361.0;;0.962;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1368.0;<;0.003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1369.0;;2.23;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1379.0;;0.416;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1382.0;;0.0733;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1383.0;;7.08;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1385.0;;0.549;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1386.0;;3.06;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1387.0;;0.000953;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EF;1388.0;;0.0236;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1392.0;;3.22;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EF;1433.0;;0.08;mg/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1458.0;;0.00435;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1464.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1517.0;<;0.02;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1629.0;<;0.05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1630.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1652.0;<;0.0005;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1688.0;<;0.001;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1877.0;;0.00268;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1888.0;;3.08e-05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1935.0;;9.91e-05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;1959.0;;0.00468;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;2028.0;<;8e-05;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;2879.0;;1.01;ng/l;0
NL89_SCHAARVODDL;15/02/2024;EB;2911.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;2912.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;2915.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;2916.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;2919.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;2920.0;<;0.0005;ug/l;3
NL89_SCHAARVODDL;15/02/2024;EB;5347.0;;0.00787;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;5977.0;;0.00299;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;5978.0;;0.00664;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;5979.0;;0.00593;ug/l;0
NL89_SCHAARVODDL;15/02/2024;EB;6830.0;;0.00403;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EB;1301.0;;9.31;oC;0
NL89_SCHAARVODDL;27/02/2024;EB;1302.0;;7.83;DIMSLS;0
NL89_SCHAARVODDL;27/02/2024;;1303.0;;256.0;mS/m;0
NL89_SCHAARVODDL;27/02/2024;EB;1305.0;;210.0;mg/l;3
NL89_SCHAARVODDL;27/02/2024;EB;1311.0;;81.0;%;0
NL89_SCHAARVODDL;27/02/2024;EB;1311.0;;9.15;mg/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1335.0;;0.041;mg/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1337.0;;820.0;mg/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1338.0;;170.0;mg/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1339.0;;0.04;mg/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1340.0;;3.3;mg/l;0
NL89_SCHAARVODDL;27/02/2024;;1345.0;;475.0;mg/l;3
NL89_SCHAARVODDL;27/02/2024;EF;1361.0;;1.01;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1368.0;<;0.003;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1369.0;;2.16;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1379.0;;0.434;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1382.0;;0.0481;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1383.0;;6.55;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1385.0;;0.629;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1386.0;;3.43;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1387.0;;0.000732;ug/l;3
NL89_SCHAARVODDL;27/02/2024;EF;1388.0;;0.0229;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1392.0;;3.67;ug/l;0
NL89_SCHAARVODDL;27/02/2024;EF;1433.0;;0.1;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1082.0;;0.00679;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1083.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1101.0;<;0.0006;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1103.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1107.0;;0.0033;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1114.0;;0.02;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1115.0;;0.00805;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1117.0;;0.00579;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1118.0;;0.00714;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1119.0;<;0.0004;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1135.0;;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1140.0;<;0.0007;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1144.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1146.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1147.0;<;0.0006;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1148.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1161.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1168.0;<;0.5;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1170.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1172.0;;0.000221;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1173.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1177.0;;0.00603;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1178.0;<;0.0004;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1179.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1181.0;<;0.001;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1191.0;;0.019;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1197.0;<;6e-05;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1199.0;<;0.0002;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1200.0;<;6e-05;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1201.0;<;5e-05;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1202.0;<;8e-05;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1203.0;;0.000249;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1204.0;;0.00679;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1207.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1208.0;;0.0029;ug/l;3
NL89_SCHAARVODDL;12/03/2024;EB;1235.0;<;0.1;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1263.0;;0.000964;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1269.0;;0.00222;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1272.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1276.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1283.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1286.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1289.0;<;0.001;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1301.0;;9.43;oC;0
NL89_SCHAARVODDL;12/03/2024;EB;1302.0;;7.84;DIMSLS;0
NL89_SCHAARVODDL;12/03/2024;;1303.0;;406.0;mS/m;0
NL89_SCHAARVODDL;12/03/2024;EB;1305.0;;64.0;mg/l;3
NL89_SCHAARVODDL;12/03/2024;EB;1311.0;;78.0;%;0
NL89_SCHAARVODDL;12/03/2024;EB;1311.0;;8.68;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1335.0;;0.068;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1337.0;;1200.0;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1338.0;;230.0;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1339.0;;0.03;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1340.0;;3.6;mg/l;0
NL89_SCHAARVODDL;12/03/2024;;1345.0;;621.0;mg/l;3
NL89_SCHAARVODDL;12/03/2024;EF;1361.0;;1.2;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1368.0;<;0.003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1369.0;;2.27;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1379.0;;0.565;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1382.0;;0.0525;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1383.0;;6.96;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1385.0;;0.634;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1386.0;;2.89;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1387.0;;0.000771;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1388.0;;0.0236;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1392.0;;2.75;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EF;1433.0;;0.1;mg/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1458.0;;0.00385;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1464.0;<;0.0003;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1517.0;;0.0562;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1629.0;<;0.05;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1630.0;<;0.01;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1652.0;<;0.0005;ug/l;0
NL89_SCHAARVODDL;12/03/2024;EB;1688.0;<;0.001;ug/l;0
