;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-f1a3f470-863b-4117-afef-061c419a14ff;ton/a;"ton per jaar";M/T;;"SI afgeleide eenheid";265;2011-06-10;2100-01-01
Id-52080130-2bc9-48fd-88bf-5ef59d763e11;ton/mnd;"ton per maand";M/T;;"SI afgeleide eenheid";319;2021-12-10;2100-01-01
Id-f43b984f-a52e-4be2-ae06-d50306c31d51;h;uur;T;3600;"SI niet-SI-eenheid";35;2020-11-06;2100-01-01
Id-0a013804-07cf-4590-aea1-8d551dded303;ve;vervuilingseenheden;;;Overig;272;2011-06-10;2100-01-01
Id-8ba1c045-9c86-4282-9b9b-8570ea7d37ff;cm2;"vierkante centimeter";L2;0.0001;"SI afgeleide eenheid";20;2012-12-11;2100-01-01
Id-027fb58b-2123-4118-b274-2df39006926a;cm2/Hz;"vierkante centimeter per hertz";L2T;0.0001;"SI afgeleide eenheid";167;2012-12-11;2100-01-01
Id-8b85479c-d6bb-44f6-af46-fd0cb16119ab;cm2/cm3;"vierkante centimeter per kubieke centimeter";L2/L3;100;"SI afgeleide eenheid";340;2021-12-10;2100-01-01
Id-06e0f92a-9adc-4317-bbdb-ab159c707655;cm2s;"vierkante centimeter seconde";L2T;0.0001;"SI afgeleide eenheid";168;2012-12-11;2100-01-01
Id-54920b75-e8f6-407e-823e-29b1b7c2cff5;km2;"vierkante kilometer";L2;1000000;"SI afgeleide eenheid";277;2013-08-03;2100-01-01
Id-1cf532be-1d2a-4f9b-8342-38fea2fd879e;m2;"vierkante meter";L2;1;"SI afgeleide eenheid";51;2011-06-10;2100-01-01
Id-de2c81fa-51dc-4bbf-bc07-6c18b209984c;m2/g;"vierkante meter per gram";L2/M;1000;"SI afgeleide eenheid";364;2021-04-13;2100-01-01
Id-094863d4-9564-460d-b96a-8d4126c2feb7;mm2;"vierkante millimeter";L2;0.000001;"SI afgeleide eenheid";234;2012-12-11;2100-01-01
Id-75a4131f-6361-4b7d-9d91-675c15800db9;V;volt;L2M/T3I;1;"SI afgeleide eenheid";84;2011-06-10;2100-01-01
Id-38765c99-a182-47f2-ad05-68fc901623bd;W/m2;"watt per vierkante meter";L2M/T3L2;1;"SI afgeleide eenheid";370;2022-02-12;2100-01-01
Id-98fd970b-a6fe-4700-a06c-9d26f928c249;Wh/ie;"wattuur per inwoner equivalent";;;Overig;274;2011-06-10;2100-01-01
Id-08eab4c7-de66-42a3-84df-ded55d08ebe0;Wh/kg;"wattuur per kilogram";L2M/MT2;3600;"SI afgeleide eenheid";275;2020-11-06;2100-01-01
Id-76520da8-1055-4ee5-ab30-a87e30226eec;Wh/m3;"wattuur per kubieke meter";L2M/L3T2;3600;"SI afgeleide eenheid";337;2017-01-31;2100-01-01
Id-340c83e7-75f6-48e3-bd99-752fb770ab95;Wh/m3.km;"wattuur per kubieke meter per kilometer";M/T2L2;3.6;"SI afgeleide eenheid";382;2025-04-26;2100-01-01
Id-92b7a4d7-7de9-4902-bdec-68eacab9a307;w;week;T;604800;"SI afgeleide eenheid";273;2020-12-01;2100-01-01
