"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd"
4861;"58-55-9";"theoplne";"theophylline";"ChemischeStof";"2012-05-02";"2100-01-01";"Geldig";""
4862;"NVT";"ZWEMWTKLTT";"Zwemwaterkwaliteit";"Typering";"2011-10-14";"2015-12-18";"Vervallen";""
4862;"NVT";"ZWEMWTKLTT";"Zwemwaterkwaliteit (eindoordeel)";"Typering";"2015-12-19";"2100-01-01";"Geldig";""
4863;"111988-49-9";"thiacpd";"thiacloprid";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4864;"153719-23-4";"thiamtxm";"thiamethoxam";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4865;"25366-23-8";"thiazfrn";"thiazafluron";"ChemischeStof";"2012-04-07";"2100-01-01";"Geldig";""
4866;"79277-67-1";"thifsfrn";"thifensulfuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4867;"79277-27-3";"thifsfrnC1y";"thifensulfuron-methyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4868;"144-11-6";"Thxfidl";"trihexyfenidyl";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";""
4869;"108050-54-0";"tilmcsne";"tilmicosine";"ChemischeStof";"2012-11-17";"2100-01-01";"Geldig";""
487;"470-90-6";"Clfvfs";"chloorfenvinfos";"ChemischeStof";"2011-06-08";"2011-06-08";"Vervallen";""
487;"470-90-6";"Clfvfs";"chloorfenvinfos";"ChemischeStof";"2025-02-27";"2100-01-01";"Geldig";"Id-99eac0eb-dc80-cede-e324-c722bb2ed9f3"
4870;"7550-45-0";"TiT4Cl";"titaantetrachloride";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4871;"15064-65-0";"Tl201";"thallium 201";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4872;"15720-57-7";"Tl202";"thallium 202";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4873;"14913-50-9";"Tl208";"thallium 208";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4874;"7440-30-4";"Tm";"thulium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4875;"100-22-1";"TMPD";"N,N,N',N'-tetramethyl-1,4-benzeendiamine (TMPD)";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";""
4875;"100-22-1";"TMPD";"tetramethyl-1,4-benzeendiamine";"ChemischeStof";"2011-08-27";"2100-01-01";"Geldig";""
4876;"2686-99-9";"Tmtcb";"trimethacarb";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4877;"39765-80-5";"tNnCl";"trans-nonachloor";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4878;"95266-40-3";"TnxpcC2y";"trinexapac-ethyl";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
4879;"62-55-5";"toacAd";"thioacetamide";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";""
